condition_id,n,surrogate_hit_rate,model_tag,seed
6,62,0.43548387096774194,full_cvae,62
7,46,0.2826086956521739,full_cvae,62
8,93,0.26881720430107525,full_cvae,62
9,40,0.5,full_cvae,62
10,91,0.7142857142857143,full_cvae,62
11,40,0.25,full_cvae,62
12,120,0.7583333333333333,full_cvae,62
13,74,0.7027027027027027,full_cvae,62
14,53,0.4339622641509434,full_cvae,62
15,111,0.7117117117117117,full_cvae,62
16,105,0.6285714285714286,full_cvae,62
17,63,0.30158730158730157,full_cvae,62
18,67,0.3880597014925373,full_cvae,62
19,114,0.6052631578947368,full_cvae,62
20,92,0.44565217391304346,full_cvae,62
21,99,0.6464646464646465,full_cvae,62
22,68,0.6029411764705882,full_cvae,62
23,80,0.4125,full_cvae,62
24,106,0.5,full_cvae,62
25,69,0.34782608695652173,full_cvae,62
26,83,0.3373493975903614,full_cvae,62
0,56,0.5357142857142857,conditional_gru_lm,42
1,114,0.6228070175438597,conditional_gru_lm,42
2,120,0.4583333333333333,conditional_gru_lm,42
3,72,0.7361111111111112,conditional_gru_lm,42
4,56,0.625,conditional_gru_lm,42
5,95,0.5157894736842106,conditional_gru_lm,42
6,62,0.2903225806451613,conditional_gru_lm,42
7,46,0.2608695652173913,conditional_gru_lm,42
8,93,0.26881720430107525,conditional_gru_lm,42
9,40,0.425,conditional_gru_lm,42
10,91,0.7472527472527473,conditional_gru_lm,42
11,40,0.175,conditional_gru_lm,42
12,120,0.8166666666666667,conditional_gru_lm,42
13,74,0.5945945945945946,conditional_gru_lm,42
14,53,0.3584905660377358,conditional_gru_lm,42
15,111,0.6846846846846847,conditional_gru_lm,42
16,105,0.6761904761904762,conditional_gru_lm,42
17,63,0.2698412698412698,conditional_gru_lm,42
18,67,0.5970149253731343,conditional_gru_lm,42
19,114,0.6842105263157895,conditional_gru_lm,42
20,92,0.44565217391304346,conditional_gru_lm,42
21,99,0.6767676767676768,conditional_gru_lm,42
22,68,0.6911764705882353,conditional_gru_lm,42
23,80,0.4,conditional_gru_lm,42
24,106,0.5943396226415094,conditional_gru_lm,42
25,69,0.4057971014492754,conditional_gru_lm,42
26,83,0.37349397590361444,conditional_gru_lm,42
0,56,0.625,conditional_gru_lm,52
1,114,0.6228070175438597,conditional_gru_lm,52
2,120,0.55,conditional_gru_lm,52
3,72,0.5972222222222222,conditional_gru_lm,52
4,56,0.6785714285714286,conditional_gru_lm,52
5,95,0.6105263157894737,conditional_gru_lm,52
6,62,0.3870967741935484,conditional_gru_lm,52
7,46,0.2608695652173913,conditional_gru_lm,52
8,93,0.3333333333333333,conditional_gru_lm,52
9,40,0.5,conditional_gru_lm,52
10,91,0.7692307692307693,conditional_gru_lm,52
11,40,0.3,conditional_gru_lm,52
12,120,0.8083333333333333,conditional_gru_lm,52
13,74,0.5945945945945946,conditional_gru_lm,52
14,53,0.32075471698113206,conditional_gru_lm,52
15,111,0.7297297297297297,conditional_gru_lm,52
16,105,0.6571428571428571,conditional_gru_lm,52
17,63,0.2222222222222222,conditional_gru_lm,52
18,67,0.5671641791044776,conditional_gru_lm,52
19,114,0.7192982456140351,conditional_gru_lm,52
20,92,0.4891304347826087,conditional_gru_lm,52
21,99,0.5353535353535354,conditional_gru_lm,52
22,68,0.5147058823529411,conditional_gru_lm,52
23,80,0.575,conditional_gru_lm,52
24,106,0.5,conditional_gru_lm,52
25,69,0.36231884057971014,conditional_gru_lm,52
26,83,0.3493975903614458,conditional_gru_lm,52
0,56,0.39285714285714285,conditional_gru_lm,62
1,114,0.5877192982456141,conditional_gru_lm,62
2,120,0.5666666666666667,conditional_gru_lm,62
3,72,0.7222222222222222,conditional_gru_lm,62
4,56,0.5178571428571429,conditional_gru_lm,62
5,95,0.5263157894736842,conditional_gru_lm,62
6,62,0.4838709677419355,conditional_gru_lm,62
7,46,0.2608695652173913,conditional_gru_lm,62
8,93,0.25806451612903225,conditional_gru_lm,62
9,40,0.425,conditional_gru_lm,62
10,91,0.7912087912087912,conditional_gru_lm,62
11,40,0.175,conditional_gru_lm,62
12,120,0.6416666666666667,conditional_gru_lm,62
13,74,0.6351351351351351,conditional_gru_lm,62
14,53,0.2830188679245283,conditional_gru_lm,62
15,111,0.6756756756756757,conditional_gru_lm,62
16,105,0.6095238095238096,conditional_gru_lm,62
17,63,0.3333333333333333,conditional_gru_lm,62
18,67,0.5373134328358209,conditional_gru_lm,62
19,114,0.5877192982456141,conditional_gru_lm,62
20,92,0.43478260869565216,conditional_gru_lm,62
21,99,0.5050505050505051,conditional_gru_lm,62
22,68,0.6323529411764706,conditional_gru_lm,62
23,80,0.5,conditional_gru_lm,62
24,106,0.4811320754716981,conditional_gru_lm,62
25,69,0.37681159420289856,conditional_gru_lm,62
26,83,0.27710843373493976,conditional_gru_lm,62
0,56,0.0,random_condition,42
1,114,0.07894736842105263,random_condition,42
2,120,0.03333333333333333,random_condition,42
3,72,0.06944444444444445,random_condition,42
4,56,0.08928571428571429,random_condition,42
5,95,0.07368421052631578,random_condition,42
6,62,0.04838709677419355,random_condition,42
7,46,0.0,random_condition,42
8,93,0.03225806451612903,random_condition,42
9,40,0.0,random_condition,42
10,91,0.02197802197802198,random_condition,42
11,40,0.0,random_condition,42
12,120,0.03333333333333333,random_condition,42
13,74,0.013513513513513514,random_condition,42
14,53,0.03773584905660377,random_condition,42
15,111,0.036036036036036036,random_condition,42
16,105,0.09523809523809523,random_condition,42
17,63,0.015873015873015872,random_condition,42
18,67,0.014925373134328358,random_condition,42
19,114,0.03508771929824561,random_condition,42
20,92,0.03260869565217391,random_condition,42
21,99,0.09090909090909091,random_condition,42
22,68,0.014705882352941176,random_condition,42
23,80,0.05,random_condition,42
24,106,0.0660377358490566,random_condition,42
25,69,0.057971014492753624,random_condition,42
26,83,0.04819277108433735,random_condition,42
0,56,0.03571428571428571,random_condition,52
1,114,0.043859649122807015,random_condition,52
2,120,0.06666666666666667,random_condition,52
3,72,0.041666666666666664,random_condition,52
4,56,0.017857142857142856,random_condition,52
5,95,0.021052631578947368,random_condition,52
6,62,0.03225806451612903,random_condition,52
7,46,0.0,random_condition,52
8,93,0.053763440860215055,random_condition,52
9,40,0.0,random_condition,52
10,91,0.02197802197802198,random_condition,52
11,40,0.0,random_condition,52
12,120,0.03333333333333333,random_condition,52
13,74,0.05405405405405406,random_condition,52
14,53,0.03773584905660377,random_condition,52
15,111,0.02702702702702703,random_condition,52
16,105,0.05714285714285714,random_condition,52
17,63,0.015873015873015872,random_condition,52
18,67,0.0,random_condition,52
19,114,0.05263157894736842,random_condition,52
20,92,0.043478260869565216,random_condition,52
21,99,0.09090909090909091,random_condition,52
22,68,0.04411764705882353,random_condition,52
23,80,0.075,random_condition,52
24,106,0.0660377358490566,random_condition,52
25,69,0.043478260869565216,random_condition,52
26,83,0.08433734939759036,random_condition,52
0,56,0.05357142857142857,random_condition,62
1,114,0.03508771929824561,random_condition,62
2,120,0.06666666666666667,random_condition,62
3,72,0.0,random_condition,62
4,56,0.017857142857142856,random_condition,62
5,95,0.042105263157894736,random_condition,62
6,62,0.03225806451612903,random_condition,62
7,46,0.021739130434782608,random_condition,62
8,93,0.03225806451612903,random_condition,62
9,40,0.0,random_condition,62
10,91,0.04395604395604396,random_condition,62
11,40,0.025,random_condition,62
12,120,0.05,random_condition,62
13,74,0.02702702702702703,random_condition,62
14,53,0.018867924528301886,random_condition,62
15,111,0.08108108108108109,random_condition,62
16,105,0.08571428571428572,random_condition,62
17,63,0.015873015873015872,random_condition,62
18,67,0.0,random_condition,62
19,114,0.043859649122807015,random_condition,62
20,92,0.021739130434782608,random_condition,62
21,99,0.04040404040404041,random_condition,62
22,68,0.0,random_condition,62
23,80,0.1,random_condition,62
24,106,0.02830188679245283,random_condition,62
25,69,0.08695652173913043,random_condition,62
26,83,0.060240963855421686,random_condition,62
0,56,0.017857142857142856,no_condition,42
1,114,0.07017543859649122,no_condition,42
2,120,0.058333333333333334,no_condition,42
3,72,0.08333333333333333,no_condition,42
4,56,0.0,no_condition,42
5,95,0.06315789473684211,no_condition,42
6,62,0.03225806451612903,no_condition,42
7,46,0.0,no_condition,42
8,93,0.010752688172043012,no_condition,42
9,40,0.0,no_condition,42
10,91,0.03296703296703297,no_condition,42
11,40,0.0,no_condition,42
12,120,0.08333333333333333,no_condition,42
13,74,0.04054054054054054,no_condition,42
14,53,0.03773584905660377,no_condition,42
15,111,0.04504504504504504,no_condition,42
16,105,0.05714285714285714,no_condition,42
17,63,0.031746031746031744,no_condition,42
18,67,0.014925373134328358,no_condition,42
19,114,0.05263157894736842,no_condition,42
20,92,0.03260869565217391,no_condition,42
21,99,0.04040404040404041,no_condition,42
22,68,0.07352941176470588,no_condition,42
23,80,0.05,no_condition,42
24,106,0.03773584905660377,no_condition,42
25,69,0.043478260869565216,no_condition,42
26,83,0.03614457831325301,no_condition,42
0,56,0.03571428571428571,no_condition,52
1,114,0.05263157894736842,no_condition,52
