model_tag,metric,mean,ci_low,ci_high,n
conditional_gru_lm,test_kl_dim_07,,,,0
conditional_gru_lm,test_kl_dim_08,,,,0
conditional_gru_lm,test_kl_dim_09,,,,0
conditional_gru_lm,test_kl_dim_10,,,,0
conditional_gru_lm,test_kl_dim_11,,,,0
conditional_gru_lm,test_kl_dim_12,,,,0
conditional_gru_lm,test_kl_dim_13,,,,0
conditional_gru_lm,test_kl_dim_14,,,,0
conditional_gru_lm,test_kl_dim_15,,,,0
conditional_gru_lm,test_kl_dim_16,,,,0
conditional_gru_lm,test_kl_dim_17,,,,0
conditional_gru_lm,test_kl_dim_18,,,,0
conditional_gru_lm,test_kl_dim_19,,,,0
conditional_gru_lm,test_kl_dim_20,,,,0
conditional_gru_lm,test_kl_dim_21,,,,0
conditional_gru_lm,test_kl_dim_22,,,,0
conditional_gru_lm,test_kl_dim_23,,,,0
conditional_gru_lm,test_kl_dim_24,,,,0
conditional_gru_lm,test_kl_dim_25,,,,0
conditional_gru_lm,test_kl_dim_26,,,,0
conditional_gru_lm,test_kl_dim_27,,,,0
conditional_gru_lm,test_kl_dim_28,,,,0
conditional_gru_lm,test_kl_dim_29,,,,0
conditional_gru_lm,test_kl_dim_30,,,,0
conditional_gru_lm,test_kl_dim_31,,,,0
full_cvae,best_epoch,40.0,40.0,40.0,3
full_cvae,val_loss,2.981828584763163,2.9745075057670114,2.986331686305539,3
full_cvae,val_recon_loss,2.338472420850622,2.3309580991809495,2.3425025156730617,3
full_cvae,val_raw_kl,0.4977795521994144,0.49611772373678603,0.499337214058724,3
full_cvae,val_free_kl,0.6410506655628555,0.6403468809841911,0.6415266434927493,3
full_cvae,val_aux_condition_loss,0.0046109806291831,0.004541847760370676,0.004686056469805575,3
full_cvae,val_token_acc,0.2976588042033484,0.29689045935183755,0.29917356637498643,3
full_cvae,val_active_units_main,32.0,32.0,32.0,3
full_cvae,val_mean_latent_var,0.03016294725239277,0.030130470171570778,0.030222848057746887,3
full_cvae,val_mean_mu_abs,0.1665679266055425,0.16609111428260803,0.16685378551483154,3
full_cvae,val_mean_kl_per_dim,0.0155556108802557,0.01550367847084999,0.015604287385940552,3
full_cvae,val_recon_subset_n,500.0,500.0,500.0,3
full_cvae,val_recon_edit_distance_mean,0.8298338632151102,0.8224838730486107,0.8357741926018677,3
full_cvae,val_recon_exact_rate,0.0,0.0,0.0,3
full_cvae,val_recon_condition_fidelity,0.051333333333333335,0.038,0.062,3
full_cvae,test_loss,2.947777435884536,2.9381778294725236,2.9540079368015504,3
full_cvae,test_recon_loss,2.3044786023253914,2.294241878203626,2.310833412314361,3
full_cvae,test_raw_kl,0.4988254637958119,0.49523668686848765,0.501507408744884,3
full_cvae,test_free_kl,0.6409649826085793,0.6403790872052031,0.6416751584646837,3
full_cvae,test_aux_condition_loss,0.00466769538020844,0.0045216034743583424,0.004813864649958768,3
full_cvae,test_token_acc,0.31146891935264553,0.307300354500321,0.3181841574377008,3
full_cvae,test_active_units_main,32.0,32.0,32.0,3
full_cvae,test_mean_latent_var,0.030280600612362225,0.030146876350045204,0.030519381165504456,3
full_cvae,test_mean_mu_abs,0.16678649187088013,0.16601507365703583,0.16766133904457092,3
full_cvae,test_mean_kl_per_dim,0.015609486649433771,0.015497211366891861,0.015694690868258476,3
full_cvae,test_recon_subset_n,500.0,500.0,500.0,3
full_cvae,test_recon_edit_distance_mean,0.8434227400890233,0.8345017224180684,0.849287663155205,3
full_cvae,test_recon_exact_rate,0.0,0.0,0.0,3
full_cvae,test_recon_condition_fidelity,0.042,0.034,0.05000000000000001,3
full_cvae,gen_n_generated,2189.0,2189.0,2189.0,3
full_cvae,gen_valid_rate,0.9949748743718594,0.99223389675651,0.9963453631795339,3
full_cvae,gen_novelty_rate,0.9995431703974417,0.9990863407948835,1.0,3
full_cvae,gen_uniqueness_rate,1.0,1.0,1.0,3
full_cvae,gen_low_complexity_rate,0.020709608649307144,0.017816354499771585,0.024211968935587025,3
full_cvae,gen_exact_train_overlap_rate,0.0004568296025582458,0.0,0.0009136592051164917,3
full_cvae,gen_nn_similarity_train_mean,0.09684608548251848,0.09506686099389361,0.0986443678286363,3
full_cvae,gen_condition_fidelity,0.5481955230698949,0.5367747830059388,0.563270899954317,3
full_cvae,gen_per_condition_surrogate_hit_mean,0.5242924335106237,0.5139336712135814,0.5386935719948102,3
full_cvae,gen_pairwise_diversity,0.9975924396116956,0.9975050061025321,0.9976426449217083,3
full_cvae,val_beta,1.0,1.0,1.0,3
full_cvae,val_n,13248.0,13248.0,13248.0,3
full_cvae,val_active_units_thr_0.001,32.0,32.0,32.0,3
full_cvae,val_active_units_thr_0.01,32.0,32.0,32.0,3
