panel,data_type,source_a,source_b,source_pair,descriptor,descriptor_column,cliffs_delta,abs_cliffs_delta,ks_stat,ks_pvalue,x_n_input,y_n_input,x_n_used,y_n_used,subsampled,cliffs_delta_method,mean_abs_cliffs_delta,max_abs_cliffs_delta,n_pairwise_comparisons
A,pairwise_cliffs_delta,APD3,CancerPPD2,APD3 vs CancerPPD2,Hydrophobicity,hydrophobicity_KD,0.11174646992452375,0.11174646992452375,0.15505767524401065,1.0274233278436112e-05,2646.0,276.0,2646.0,276.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,APD3,CancerPPD2,APD3 vs CancerPPD2,Shannon entropy,shannon_entropy,0.4786141509743994,0.4786141509743994,0.38907785336356765,1.7802216319845893e-34,2646.0,276.0,2646.0,276.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,APD3,CancerPPD2,APD3 vs CancerPPD2,Max homopolymer run,max_homopolymer_run,-0.02888691708567485,0.02888691708567485,0.16718426501035197,1.4165104492229996e-06,2646.0,276.0,2646.0,276.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,APD3,CancerPPD2,APD3 vs CancerPPD2,Dominant residue fraction,dominant_residue_fraction,-0.39406350301795434,0.39406350301795434,0.32756580893226855,2.445527912022851e-24,2646.0,276.0,2646.0,276.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,APD3,DCP,APD3 vs DCP,Length,length,0.5939600964203782,0.5939600964203782,0.46050004373153536,4.269473e-318,2646.0,4442.0,2646.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,APD3,DCP,APD3 vs DCP,Net charge,net_charge_pH7,-0.0681822281166206,0.0681822281166206,0.18032111538897413,1.396648608706856e-47,2646.0,4442.0,2646.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,APD3,DCP,APD3 vs DCP,Hydrophobicity,hydrophobicity_KD,0.2232478713632634,0.2232478713632634,0.1939840721920866,4.8459575637200774e-55,2646.0,4442.0,2646.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,APD3,DCP,APD3 vs DCP,Shannon entropy,shannon_entropy,0.5498964056081185,0.5498964056081185,0.4350305933569586,1.1313290541992616e-282,2646.0,4442.0,2646.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,APD3,DCP,APD3 vs DCP,Max homopolymer run,max_homopolymer_run,0.0405837156014039,0.0405837156014039,0.10079097925627803,4.06077087352988e-15,2646.0,4442.0,2646.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,APD3,DCP,APD3 vs DCP,Dominant residue fraction,dominant_residue_fraction,-0.4462399047367208,0.4462399047367208,0.3558896168402826,4.117151057526986e-187,2646.0,4442.0,2646.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,CancerPPD2,DCP,CancerPPD2 vs DCP,Length,length,0.06207136751300171,0.06207136751300171,0.0886253743906975,0.03160001894416674,276.0,4442.0,276.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,CancerPPD2,DCP,CancerPPD2 vs DCP,Net charge,net_charge_pH7,-0.16652147811731235,0.16652147811731235,0.21500140294553308,5.089205485543721e-11,276.0,4442.0,276.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,CancerPPD2,DCP,CancerPPD2 vs DCP,Hydrophobicity,hydrophobicity_KD,0.09562052607194826,0.09562052607194826,0.11167609576571462,0.002798338083645919,276.0,4442.0,276.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,CancerPPD2,DCP,CancerPPD2 vs DCP,Shannon entropy,shannon_entropy,0.027297894276634756,0.027297894276634756,0.09894191805493022,0.01144219444887924,276.0,4442.0,276.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,CancerPPD2,DCP,CancerPPD2 vs DCP,Max homopolymer run,max_homopolymer_run,0.056032176392668144,0.056032176392668144,0.1158131537563051,0.0017069421868565636,276.0,4442.0,276.0,4442.0,False,exact_sorted_search,,,
A,pairwise_cliffs_delta,CancerPPD2,DCP,CancerPPD2 vs DCP,Dominant residue fraction,dominant_residue_fraction,0.001163955392857376,0.001163955392857376,0.10050962812155381,0.009710113316982849,276.0,4442.0,276.0,4442.0,False,exact_sorted_search,,,
B,descriptor_shift_summary,,,,Length,,,,,,,,,,,,0.34545438595870825,0.5939600964203782,6.0
B,descriptor_shift_summary,,,,Shannon entropy,,,,,,,,,,,,0.33223001564686494,0.5498964056081185,6.0
B,descriptor_shift_summary,,,,Dominant residue fraction,,,,,,,,,,,,0.28803689312402353,0.4462399047367208,6.0
B,descriptor_shift_summary,,,,Hydrophobicity,,,,,,,,,,,,0.1817630944301746,0.3697342363030265,6.0
B,descriptor_shift_summary,,,,Net charge,,,,,,,,,,,,0.12461790506275172,0.21360496468561938,6.0
B,descriptor_shift_summary,,,,Max homopolymer run,,,,,,,,,,,,0.03246054187022302,0.056032176392668144,6.0
